Mean demand by hour
hour,mean_demand
0,53.89807162534435
1,33.3756906077348
2,22.86993006993007
3,11.727403156384504
4,6.352941176470588
5,19.88981868898187
6,76.04413793103448
7,212.0646492434663
8,359.01100412654745
9,219.30949105914718
10,173.6685006877579
11,208.1430536451169
12,253.31593406593407
13,253.66117969821673
14,240.94924554183814
15,251.2331961591221
16,311.9835616438356
17,461.45205479452056
18,425.510989010989
19,311.52335164835165
20,226.03021978021977
21,172.31456043956044
22,131.33516483516485
23,87.83104395604396

Mean demand by weekday
weekday,mean_demand
0,177.46882494004797
1,183.74465510286404
2,191.23889115368937
3,191.13050505050506
4,196.43666531768514
5,196.13590671491758
6,190.20979299363057
